顧客名,担当者,フェーズ,温度感,最終接触日
青葉商事,佐藤,初回接触,高,2026-03-05
北関東機工,田中,提案中,中,2026-03-01
ミナトフーズ,鈴木,見積提出,高,2026-03-02
城東メディカル,伊藤,稟議中,高,2026-02-28
オーク人材,高橋,保留,低,2026-02-20
ネクスト製版,渡辺,提案中,低,2026-02-27
日本設備サービス,山本,見積提出,中,2026-03-06
中央ソフト開発,中村,初回接触,中,2026-03-03
東西ロジスティクス,佐々木,提案中,高,2026-03-08
さくら建設,山口,稟議中,中,2026-03-07
未来メディカル,加藤,保留,低,2026-03-04
グリーン小売,小林,見積提出,低,2026-03-09
北辰テクノ,吉田,初回接触,高,2026-03-09
西日本流通,井上,提案中,中,2026-03-04
みらい人材パートナーズ,木村,保留,中,2026-03-02
中央ファイナンス,松本,稟議中,高,2026-03-09
京浜システムズ,清水,見積提出,高,2026-03-05
オレンジフーズ,森,初回接触,低,2026-03-08
東都不動産,池田,提案中,低,2026-03-09
メトロ設備,橋本,見積提出,中,2026-02-25
