案件名,担当者,受注予定月,金額,確度
北辰テクノ基盤刷新,佐藤,2026-03,8500000,70
青葉物流SFA,田中,2026-03,4200000,55
中央病院予約統合,鈴木,2026-04,12000000,80
西日本販売分析,伊藤,2026-04,5800000,45
ミライ人材DB刷新,高橋,2026-05,3600000,60
東都製作所CRM,渡辺,2026-05,7400000,75
京浜メディカル刷新,佐々木,2026-06,9100000,68
関西商事BI導入,山口,2026-06,4900000,50
桜木製作所SFA再編,加藤,2026-07,6300000,72
城東物流配車最適化,小林,2026-07,5400000,58
中央人材分析基盤,吉田,2026-08,4700000,65
南関東リテールDX,井上,2026-08,8800000,52
北日本建設原価可視化,木村,2026-09,7600000,61
メトロ設備保守統合,松本,2026-09,5200000,47
未来ファイナンス営業改革,清水,2026-10,9800000,74
オレンジフーズ受発注刷新,森,2026-10,4300000,57
青空ケア予約統合,池田,2026-11,6900000,66
東都エネルギー顧客管理,橋本,2026-11,5700000,49
日本流通需要予測,阿部,2026-12,8400000,71
グリーン人材営業支援,石川,2026-12,3900000,53
大和医療CRM刷新,中村,2027-01,10100000,77
新都心ロジ再編,藤田,2027-01,4600000,56
